Transaction Details,Individual Transaction Amounts,Running Balance
Date/Time,Action,Table Name / Player / Tournament #
2025/09/01 7:59 PM,Casino: Monthly CPP Counter Reset,71828714
2025/09/01 7:59 PM,Tournament Registration,3923190575
2025/09/01 8:07 PM,Tournament Re-entry,3923190575
2025/09/01 8:10 PM,Tournament Re-entry,3923190575
2025/09/04 4:42 PM,Real Money Transfer Received,3580281189
2025/09/04 7:35 PM,Tournament Registration,3924652775
2025/09/04 8:09 PM,Tournament Re-entry,3924652775
2025/09/04 8:41 PM,Tournament Interim Payout,3924652775
2025/09/04 9:24 PM,Tournament Won,3924652775
2025/09/06 10:57 AM,Tournament Registration,3924652620
2025/09/06 12:37 PM,Tournament Interim Payout,3924652620
2025/09/06 12:55 PM,Reward: Knockout Bounty,3924652620
2025/09/06 12:55 PM,Reward: Knockout Bounty,3924652620
2025/09/06 1:02 PM,Reward: Knockout Bounty,3924652620
2025/09/06 1:22 PM,Tournament Registration,3924652644
2025/09/06 2:24 PM,Reward: Knockout Bounty,3924652620
2025/09/06 2:38 PM,Reward: Knockout Bounty,3924652644
2025/09/06 2:46 PM,Reward: Knockout Bounty,3924652644
2025/09/06 2:52 PM,Reward: Knockout Bounty,3924652620
2025/09/06 3:47 PM,Tournament Won,3924652620
2025/09/06 7:50 PM,Tournament Registration,3924652777
2025/09/07 9:23 AM,Tournament Registration,3924651982
2025/09/07 10:03 AM,Tournament Re-entry,3924651982
2025/09/07 10:24 AM,Reward: Knockout Bounty,3924651982
2025/09/07 11:09 AM,Tournament Registration,3924652621
2025/09/07 11:22 AM,Reward: Knockout Bounty,3924651982
2025/09/07 11:32 AM,Tournament Interim Payout,3924651982
2025/09/07 12:02 PM,Tournament Re-entry,3924652621
2025/09/07 1:24 PM,Tournament Won,3924651982
2025/09/07 7:28 PM,Tournament Registration,3924652778
2025/09/07 8:03 PM,Tournament Re-entry,3924652778
2025/09/07 8:04 PM,Tournament Re-entry,3924652778
2025/09/07 8:11 PM,Tournament Re-entry,3924652778
2025/09/07 10:22 PM,Tournament Ticket Issued,7116039
2025/09/07 10:23 PM,Chest Reward,1550617811
2025/09/07 10:23 PM,Chest Reward,1550617816
2025/09/07 10:28 PM,Withdrawal,3581566351
2025/09/08 8:05 PM,Tournament Registration,3925282026
2025/09/08 8:12 PM,Tournament Re-entry,3925282026
2025/09/08 8:15 PM,Tournament Registration,3925282019
2025/09/08 8:21 PM,Tournament Re-entry,3925282019
2025/09/08 8:25 PM,Tournament Re-entry,3925282019
2025/09/09 7:32 PM,Tournament Registration,3925282027
2025/09/09 8:44 PM,Tournament Interim Payout,3925282027
2025/09/09 9:41 PM,Tournament Won,3925282027
2025/09/11 7:44 PM,Tournament Registration,3926847598
2025/09/12 2:21 PM,Tournament Registration,3924436472
2025/09/12 2:31 PM,Tournament Re-entry,3924436472
2025/09/12 3:06 PM,Reward: Knockout Bounty,3924436472
2025/09/12 3:09 PM,Tournament Re-entry,3924436472
2025/09/12 3:10 PM,Reward: Knockout Bounty,3924436472
2025/09/12 3:17 PM,Reward: Knockout Bounty,3924436472
2025/09/12 3:40 PM,Tournament Registration,3924436475
2025/09/12 3:41 PM,Tournament Re-entry,3924436472
2025/09/12 3:53 PM,Tournament Re-entry,3924436475
2025/09/12 3:54 PM,Tournament Re-entry,3924436475
2025/09/12 4:11 PM,Reward: Knockout Bounty,3924436475
2025/09/12 4:24 PM,Reward: Knockout Bounty,3924436475
2025/09/12 4:30 PM,Reward: Knockout Bounty,3924436475
2025/09/12 4:36 PM,Tournament Interim Payout,3924436472
2025/09/12 4:40 PM,Reward: Knockout Bounty,3924436475
2025/09/12 4:46 PM,Reward: Knockout Bounty,3924436472
2025/09/12 4:54 PM,Reward: Knockout Bounty,3924436472
2025/09/12 5:54 PM,Tournament Won,3924436472
2025/09/12 6:23 PM,Tournament Registration,3926847567
2025/09/12 6:39 PM,Tournament Re-entry,3926847567
2025/09/12 6:55 PM,Tournament Re-entry,3926847567
2025/09/12 7:34 PM,Tournament Registration,3926847599
2025/09/12 8:14 PM,Tournament Interim Payout,3926847567
2025/09/12 8:23 PM,Tournament Won,3926847567
2025/09/12 8:46 PM,Tournament Interim Payout,3926847599
2025/09/13 9:22 AM,Tournament Registration,3926846738
2025/09/13 9:27 AM,Tournament Re-entry,3926846738
2025/09/13 9:36 AM,Tournament Re-entry,3926846738
2025/09/13 10:25 AM,Tournament Registration,3926847437
2025/09/13 10:38 AM,Reward: Knockout Bounty,3926847437
2025/09/13 10:44 AM,Reward: Knockout Bounty,3926847437
2025/09/13 12:38 PM,Tournament Interim Payout,3926847437
2025/09/13 12:52 PM,Reward: Knockout Bounty,3926847437
2025/09/13 1:12 PM,Tournament Won,3926847437
2025/09/13 1:38 PM,Tournament Registration,3926847463
2025/09/13 1:42 PM,Tournament Re-entry,3926847463
2025/09/13 1:47 PM,Tournament Re-entry,3926847463
2025/09/13 1:52 PM,Tournament Re-entry,3926847463
2025/09/13 2:05 PM,Reward: Knockout Bounty,3926847463
2025/09/13 2:12 PM,Reward: Knockout Bounty,3926847463
2025/09/13 2:32 PM,Tournament Interim Payout,3926847463
2025/09/13 3:22 PM,Reward: Knockout Bounty,3926847463
2025/09/13 4:49 PM,Tournament Won,3926847463
2025/09/13 7:56 PM,Tournament Registration,3926847600
2025/09/13 7:58 PM,Tournament Registration,3926847592
2025/09/13 8:31 PM,Tournament Re-entry,3926847592
2025/09/13 8:36 PM,Tournament Interim Payout,3926847600
2025/09/13 8:39 PM,Tournament Re-entry,3926847592
2025/09/13 10:16 PM,Tournament Won,3926847600
2025/09/14 10:09 AM,Chest Reward,1551374825
2025/09/14 11:01 AM,Withdrawal,3583833575
2025/09/14 11:01 AM,Tournament Registration,3926847438
2025/09/14 1:05 PM,Tournament Interim Payout,3926847438
2025/09/14 1:20 PM,Tournament Won,3926847438
2025/09/14 5:34 PM,Tournament Registration,3926846826
2025/09/14 5:41 PM,Reward: Knockout Bounty,3926846826
2025/09/14 6:04 PM,Tournament Registration,3925319868
2025/09/14 6:08 PM,Reward: Knockout Bounty,3925319868
2025/09/14 6:08 PM,Reward: Knockout Bounty,3925319868
2025/09/14 6:08 PM,Tournament Interim Payout,3926846826
2025/09/14 6:18 PM,Reward: Knockout Bounty,3925319868
2025/09/14 6:25 PM,Reward: Knockout Bounty,3925319868
2025/09/14 6:37 PM,Reward: Knockout Bounty,3925319868
2025/09/14 6:46 PM,Reward: Knockout Bounty,3925319868
2025/09/14 7:16 PM,Tournament Registration,3926847601
2025/09/14 8:31 PM,Tournament Registration,3926846852
2025/09/14 8:37 PM,Tournament Re-entry,3926846852
2025/09/14 8:44 PM,Tournament Re-entry,3926846852
2025/09/14 8:49 PM,Reward: Knockout Bounty,3926846852
2025/09/14 8:49 PM,Reward: Knockout Bounty,3926846852
2025/09/14 9:17 PM,Reward: Knockout Bounty,3926846852
2025/09/14 9:17 PM,Reward: Knockout Bounty,3926846852
2025/09/17 11:48 AM,Tournament Registration,3927405646
2025/09/17 12:30 PM,Reward: Knockout Bounty,3927405646
2025/09/18 6:42 PM,Tournament Registration,3928912528
2025/09/18 7:53 PM,Reward: Knockout Bounty,3928912528
2025/09/18 7:59 PM,Tournament Registration,3928912556
2025/09/18 8:14 PM,Tournament Interim Payout,3928912528
2025/09/18 8:39 PM,Reward: Knockout Bounty,3928912528
2025/09/18 8:48 PM,Tournament Won,3928912528
2025/09/18 8:49 PM,Tournament Registration,3928911864
2025/09/19 11:01 AM,Tournament Registration,3928912397
2025/09/19 11:16 AM,Tournament Re-entry,3928912397
2025/09/19 11:50 AM,Tournament Re-entry,3928912397
2025/09/19 11:55 AM,Tournament Re-entry,3928912397
2025/09/19 1:05 PM,Tournament Interim Payout,3928912397
2025/09/19 1:11 PM,Tournament Registration,3927115790
2025/09/19 1:31 PM,Tournament Re-entry,3927115790
2025/09/19 1:34 PM,Tournament Registration,3928912423
2025/09/19 2:19 PM,Tournament Interim Payout,3927115790
2025/09/19 2:25 PM,Reward: Knockout Bounty,3927115790
2025/09/19 2:25 PM,Reward: Knockout Bounty,3927115790
2025/09/19 3:05 PM,Tournament Won,3927115790
2025/09/19 6:52 PM,Tournament Registration,3928912529
2025/09/19 7:06 PM,Reward: Knockout Bounty,3928912529
2025/09/19 7:16 PM,Reward: Knockout Bounty,3928912529
2025/09/19 7:40 PM,Tournament Interim Payout,3928912529
2025/09/19 8:21 PM,Reward: Knockout Bounty,3928912529
2025/09/19 8:42 PM,Tournament Won,3928912529
2025/09/19 11:19 PM,Tournament Registration,3928911873
2025/09/19 11:38 PM,Reward: Knockout Bounty,3928911873
2025/09/20 12:11 AM,Tournament Interim Payout,3928911873
2025/09/20 12:34 AM,Tournament Won,3928911873
2025/09/20 11:18 AM,Tournament Registration,3928912398
2025/09/20 11:38 AM,Tournament Re-entry,3928912398
2025/09/20 11:53 AM,Tournament Re-entry,3928912398
2025/09/20 1:07 PM,Tournament Registration,3928912424
2025/09/20 1:09 PM,Reward: Knockout Bounty,3928912424
2025/09/20 1:32 PM,Reward: Knockout Bounty,3928912424
2025/09/21 8:46 AM,Tournament Registration,3928911767
2025/09/21 9:20 AM,Tournament Re-entry,3928911767
2025/09/21 9:25 AM,Tournament Ticket Issued,7116039
2025/09/21 9:26 AM,Chest Reward,1552731804
2025/09/21 9:26 AM,Tournament Re-entry,3928911767
2025/09/21 10:02 AM,Deposit (Player),3586202932
2025/09/21 10:40 AM,Tournament Registration,3928912399
2025/09/21 10:48 AM,Reward: Knockout Bounty,3928912399
2025/09/21 10:49 AM,Reward: Knockout Bounty,3928912399
2025/09/21 12:03 PM,Reward: Knockout Bounty,3928912399
2025/09/21 12:22 PM,Reward: Knockout Bounty,3928912399
2025/09/21 12:22 PM,Reward: Knockout Bounty,3928912399
2025/09/21 12:32 PM,Reward: Knockout Bounty,3928912399
2025/09/21 12:44 PM,Tournament Interim Payout,3928912399
2025/09/21 1:16 PM,Reward: Knockout Bounty,3928912399
2025/09/21 1:42 PM,Reward: Knockout Bounty,3928912399
2025/09/21 1:56 PM,Tournament Registration,3922277652
2025/09/21 2:31 PM,Reward: Knockout Bounty,3928912399
2025/09/21 2:40 PM,Tournament Won,3928912399
2025/09/21 7:51 PM,Tournament Registration,3928912559
2025/09/21 8:41 PM,Tournament Interim Payout,3928912559
2025/09/22 2:31 PM,Tournament Registration,3922277669
2025/09/22 2:49 PM,Tournament Re-entry,3922277669
2025/09/22 2:53 PM,Tournament Re-entry,3922277669
2025/09/22 3:52 PM,Tournament Registration,3929498992
2025/09/22 4:24 PM,Tournament Interim Payout,3922277669
2025/09/22 8:02 PM,Tournament Registration,3929499044
2025/09/22 8:45 PM,Tournament Interim Payout,3929499044
2025/09/22 9:53 PM,Tournament Won,3929499044
2025/09/23 12:17 PM,Tournament Registration,3922277521
2025/09/23 12:44 PM,Tournament Re-entry,3922277521
2025/09/23 12:45 PM,Tournament Registration,3929498946
2025/09/23 1:04 PM,Tournament Re-entry,3922277521
2025/09/23 1:37 PM,Tournament Re-entry,3922277521
2025/09/23 1:44 PM,Tournament Re-entry,3922277521
2025/09/23 1:46 PM,Reward: Knockout Bounty,3929498946
2025/09/23 1:53 PM,Reward: Knockout Bounty,3929498946
2025/09/23 1:55 PM,Tournament Re-entry,3922277521
2025/09/23 1:56 PM,Tournament Re-entry,3929498946
2025/09/23 2:55 PM,Tournament Interim Payout,3922277521
2025/09/23 4:32 PM,Tournament Registration,3929498375
2025/09/23 6:30 PM,Tournament Won,3922277521
2025/09/23 7:21 PM,Tournament Registration,3929499045
2025/09/23 7:50 PM,Tournament Re-entry,3929499045
